BusinessYear,StateCode,IssuerId,SourceName,ImportDate,ServiceAreaId,ServiceAreaName,CoverEntireState,County,PartialCounty,ZipCodes,PartialCountyJustification,MarketCoverage,DentalOnlyPlan
2025,AK,21989,HIOS,2024-08-29 01:02:15,AKS001,Alaska Premier,Yes,,,,,SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,AKS002,Alaska PPO,No,02020,No,,,SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,AKS002,Alaska PPO,No,02090,No,,,SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,AKS002,Alaska PPO,No,02170,No,,,SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,AKS003,Alaska Premier - Individual,Yes,,,,,Individual,Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,AKS004,Alaska PPO - Individual,No,02020,No,,,Individual,Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,AKS004,Alaska PPO - Individual,No,02090,No,,,Individual,Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,AKS004,Alaska PPO - Individual,No,02170,No,,,Individual,Yes
2025,AK,38344,HIOS,2024-11-15 00:01:36,AKS001,PBCBSAK Individual Legacy,Yes,,,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02020,No,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02090,No,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02100,No,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02122,No,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02130,No,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02170,No,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02195,No,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02230,No,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02110,No,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02220,No,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02275,No,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02105,No,,,Individual,No
2025,AK,73836,HIOS,2024-08-29 01:02:15,AKS002,Pioneer - individual,No,02198,No,,,Individual,No
2025,AK,74819,HIOS,2024-10-18 01:02:01,AKS001,BEST Life Alaska,Yes,,,,,Individual,Yes
